trial,_right_canvas,times,_left_canvas,Unnamed: 4
6,1,0,0,
6,1,39,0,
6,1,75,0,
6,1,109,0,
6,1,140,0,
6,1,176,0,
6,1,212,0,
6,1,248,0,
6,1,283,0,
6,1,321,0,
6,0,354,1,
6,0,390,1,
6,0,424,1,
6,0,460,0,
6,0,494,1,
6,0,528,1,
6,0,562,1,
6,0,599,1,
6,0,638,1,
6,0,674,1,
6,0,705,1,
6,0,738,1,
6,0,771,0,
6,0,806,1,
6,0,840,1,
6,0,873,1,
6,0,907,0,
6,0,939,0,
6,1,974,0,
6,0,1005,1,
6,0,1038,1,
6,0,1076,1,
6,0,1110,1,
6,0,1142,1,
6,0,1171,1,
6,0,1205,1,
6,0,1242,1,
6,0,1277,1,
6,0,1313,1,
6,0,1344,1,
6,0,1378,1,
6,0,1413,1,
6,0,1449,0,
6,1,1488,0,
6,1,1521,0,
6,0,1555,1,
6,1,1590,0,
6,1,1625,0,
6,1,1660,0,
6,1,1695,0,
6,1,1729,0,
6,1,1765,0,
6,1,1804,0,
6,1,1838,0,
6,1,1871,0,
6,1,1911,0,
6,1,1958,0,
6,1,1993,0,
7,0,0,0,
7,1,46,0,
7,1,80,0,
7,1,117,0,
7,1,150,0,
7,1,184,0,
7,1,218,0,
7,1,253,0,
7,1,285,0,
7,1,319,0,
7,0,354,0,
7,1,389,0,
7,0,428,0,
7,1,462,0,
7,1,499,0,
7,1,533,0,
7,1,567,0,
7,1,602,0,
7,1,637,0,
7,1,669,0,
7,1,706,0,
7,1,737,0,
7,1,768,0,
7,1,808,0,
7,1,858,0,
7,1,894,0,
7,1,927,0,
7,1,962,0,
7,1,997,0,
7,1,1028,0,
7,1,1065,0,
7,1,1099,0,
7,1,1133,0,
7,1,1165,0,
7,1,1200,0,
7,1,1237,0,
7,1,1278,0,
7,1,1313,0,
7,1,1346,0,
7,1,1382,0,
7,1,1417,0,
7,1,1451,0,
7,1,1486,0,
7,1,1520,0,
7,1,1556,0,
7,1,1588,0,
7,1,1621,0,
8,1,0,0,
8,0,37,0,
8,1,76,0,
8,1,113,0,
8,0,143,0,
8,1,176,0,
8,1,210,0,
8,1,244,0,
8,0,279,0,
8,0,314,0,
8,0,350,1,
8,0,385,1,
8,0,421,1,
8,0,458,0,
8,0,494,1,
8,0,529,1,
8,0,564,1,
8,0,593,1,
8,0,626,1,
8,0,660,1,
8,0,695,1,
8,0,729,1,
8,0,764,1,
8,0,806,1,
8,0,838,1,
8,0,878,1,
8,0,913,0,
8,0,950,1,
8,0,985,1,
8,0,1021,1,
8,0,1063,1,
8,0,1097,1,
8,0,1132,1,
8,0,1166,1,
8,0,1201,1,
8,0,1236,1,
8,0,1270,1,
8,0,1312,1,
8,0,1348,0,
8,0,1379,1,
8,0,1416,0,
8,1,1452,0,
8,1,1486,0,
10,1,0,0,
10,1,34,0,
10,1,69,0,
10,1,104,0,
10,0,138,0,
10,0,172,0,
10,0,206,1,
10,0,241,1,
10,0,282,1,
10,1,316,0,
10,1,351,0,
10,1,385,0,
10,1,419,0,
10,1,454,0,
10,1,485,0,
10,1,521,0,
10,1,558,0,
10,1,593,0,
10,1,625,0,
10,1,660,0,
10,1,700,0,
10,1,733,0,
10,1,766,0,
10,1,799,0,
10,1,834,0,
10,1,869,0,
10,1,902,0,
10,1,933,0,
10,1,969,0,
10,1,999,0,
10,1,1034,0,
10,0,1069,0,
10,1,1100,0,
10,0,1136,0,
10,0,1171,0,
10,0,1205,0,
10,1,1239,0,
10,0,1276,1,
10,0,1316,1,
10,0,1350,1,
10,0,1388,1,
10,0,1432,1,
10,0,1465,1,
10,0,1499,1,
10,0,1533,1,
10,1,1569,0,
10,1,1604,0,
10,1,1639,0,
10,1,1674,0,
10,1,1705,0,
10,1,1739,0,
10,1,1774,0,
10,1,1808,0,
10,0,1843,0,
10,1,1883,0,
10,1,1916,0,
10,1,1951,0,
10,1,1986,0,
10,1,2019,0,
10,1,2054,0,
11,0,0,1,
11,0,39,0,
11,1,79,0,
11,0,113,1,
11,0,146,1,
11,0,180,1,
11,0,215,1,
11,0,250,1,
11,0,286,1,
11,0,323,1,
11,0,354,1,
11,0,389,1,
11,0,421,1,
11,0,457,1,
11,0,491,1,
11,0,532,0,
11,0,566,0,
11,1,600,0,
11,1,636,0,
11,0,670,1,
11,0,705,1,
11,0,739,1,
11,0,773,1,
11,0,805,1,
11,0,840,1,
11,0,881,1,
11,0,916,1,
11,0,948,1,
11,0,982,1,
11,0,1015,1,
11,0,1049,1,
11,0,1082,1,
11,0,1116,1,
11,0,1151,1,
11,0,1184,1,
11,0,1215,1,
11,0,1247,1,
11,0,1280,1,
11,0,1316,1,
11,0,1349,1,
11,0,1382,1,
11,0,1417,1,
11,0,1452,1,
11,0,1488,1,
11,0,1532,1,
11,0,1565,1,
11,0,1598,1,
11,0,1631,1,
11,0,1666,1,
11,0,1703,1,
12,0,0,1,
12,1,36,0,
12,1,70,0,
12,1,106,0,
12,1,141,0,
12,1,174,0,
12,0,208,0,
12,1,242,0,
12,0,275,1,
12,1,311,0,
12,1,349,0,
12,1,383,0,
12,0,415,0,
12,1,451,0,
12,1,487,0,
12,1,523,0,
12,0,558,1,
12,1,592,0,
12,0,628,1,
12,0,668,1,
12,1,702,0,
12,1,736,0,
12,1,772,0,
12,0,812,0,
12,0,856,1,
12,0,891,0,
12,0,925,0,
12,0,961,0,
12,0,1001,1,
12,0,1039,1,
12,1,1073,0,
12,0,1107,1,
12,1,1141,0,
12,0,1178,1,
12,0,1216,1,
12,0,1249,1,
12,0,1282,1,
12,0,1317,1,
12,0,1353,1,
12,0,1388,0,
13,0,0,1,
13,0,36,1,
13,0,72,1,
13,0,107,1,
13,0,141,0,
13,0,176,0,
13,1,210,0,
13,0,250,1,
13,1,283,0,
13,0,317,0,
13,0,352,0,
13,0,386,1,
13,0,421,1,
13,0,456,1,
13,0,491,1,
13,0,525,1,
13,0,561,1,
13,0,601,1,
13,0,635,1,
13,0,669,1,
13,0,704,0,
13,1,739,0,
13,1,774,0,
13,1,808,0,
13,1,842,0,
13,1,878,0,
13,1,912,0,
13,0,944,0,
13,0,976,0,
13,0,1010,1,
13,1,1045,0,
13,1,1080,0,
13,1,1118,0,
13,0,1153,0,
13,0,1189,1,
13,0,1224,0,
13,1,1260,0,
13,1,1295,0,
13,1,1331,0,
13,0,1363,0,
13,1,1397,0,
13,1,1437,0,
13,0,1470,0,
13,1,1505,0,
13,1,1540,0,
13,0,1574,1,
13,0,1610,1,
13,0,1645,1,
13,0,1686,1,
13,0,1721,1,
13,0,1759,1,
13,0,1793,0,
13,0,1823,1,
13,0,1856,0,
13,0,1890,1,
13,0,1924,1,
13,0,1958,1,
13,0,1992,1,
13,0,2023,1,
13,0,2057,1,
13,0,2096,1,
13,1,2130,0,
13,1,2164,0,
13,1,2203,0,
13,1,2236,0,
13,1,2273,0,
13,1,2308,0,
13,1,2339,0,
13,1,2370,0,
13,1,2405,0,
13,1,2439,0,
13,1,2470,0,
13,1,2502,0,
13,0,2540,1,
13,0,2586,1,
13,0,2623,1,
13,0,2657,1,
13,0,2693,1,
13,0,2729,1,
13,0,2768,1,
13,0,2801,1,
13,0,2837,1,
13,0,2868,1,
13,0,2903,1,
13,0,2937,1,
13,0,2972,1,
13,0,3004,1,
13,0,3038,1,
13,0,3071,1,
13,0,3108,1,
13,0,3143,1,
13,0,3177,1,
13,0,3212,1,
13,0,3247,1,
13,1,3287,0,
13,1,3323,0,
13,1,3359,0,
13,1,3394,0,
13,1,3427,0,
13,1,3461,0,
13,0,3498,0,
13,1,3537,0,
13,1,3572,0,
13,1,3607,0,
13,1,3642,0,
13,1,3676,0,
13,1,3710,0,
13,0,3741,0,
13,1,3775,0,
13,1,3809,0,
13,1,3838,0,
13,1,3873,0,
13,1,3907,0,
13,1,3938,0,
13,1,3972,0,
13,1,4005,0,
13,1,4040,0,
13,1,4075,0,
13,1,4113,0,
13,1,4144,0,
13,1,4178,0,
13,1,4213,0,
13,1,4246,0,
13,1,4277,0,
13,1,4311,0,
13,1,4345,0,
13,1,4381,0,
13,1,4415,0,
13,1,4454,0,
13,1,4487,0,
13,0,4525,0,
13,0,4560,0,
13,0,4595,1,
13,0,4625,1,
13,0,4659,1,
13,0,4692,1,
13,0,4726,1,
13,0,4761,1,
13,0,4798,1,
13,0,4838,1,
13,0,4873,1,
13,1,4905,0,
13,0,4940,0,
13,1,4974,0,
13,1,5007,0,
