trial,times,_left_canvas,_right_canvas,Unnamed: 4
6,0,0,1,
6,31,0,1,
6,58,0,1,
6,86,0,0,
6,113,1,0,
6,142,0,0,
6,170,0,0,
6,196,0,1,
6,227,1,0,
6,260,1,0,
6,294,1,0,
6,321,0,0,
6,346,0,0,
6,378,0,0,
6,406,0,0,
6,432,0,0,
6,461,1,0,
6,495,0,0,
6,528,0,0,
6,561,1,0,
6,595,1,0,
6,628,1,0,
6,655,1,0,
6,682,1,0,
6,710,1,0,
6,738,1,0,
6,767,1,0,
6,793,1,0,
6,821,1,0,
6,849,1,0,
6,877,0,0,
6,910,1,0,
6,937,0,0,
6,965,0,0,
6,1000,0,0,
6,1029,1,0,
6,1061,1,0,
6,1094,1,0,
6,1126,1,0,
6,1152,1,0,
6,1181,1,0,
6,1209,1,0,
6,1236,1,0,
6,1268,1,0,
6,1295,1,0,
6,1326,1,0,
6,1359,1,0,
6,1394,1,0,
6,1426,1,0,
6,1460,1,0,
6,1493,0,0,
6,1526,1,0,
6,1555,0,0,
6,1583,1,0,
6,1609,0,0,
6,1643,0,0,
6,1676,0,0,
6,1710,0,0,
6,1744,0,0,
6,1777,0,0,
6,1811,1,0,
6,1839,0,0,
6,1868,1,0,
6,1895,1,0,
6,1929,0,0,
6,1962,0,0,
6,1989,1,0,
6,2017,0,0,
6,2045,1,0,
6,2071,1,0,
6,2099,1,0,
6,2130,0,1,
6,2163,0,0,
6,2197,0,0,
6,2230,1,0,
6,2263,0,0,
6,2296,1,0,
6,2329,0,0,
6,2356,1,0,
6,2388,0,0,
6,2416,0,0,
6,2446,0,0,
6,2479,0,0,
6,2513,0,0,
6,2540,0,0,
6,2570,0,0,
6,2599,0,0,
6,2629,0,0,
6,2662,0,0,
6,2700,0,0,
6,2735,0,0,
6,2767,0,0,
6,2800,0,0,
6,2832,1,0,
6,2862,0,0,
6,2905,0,0,
6,2940,0,0,
6,2968,0,0,
6,2996,0,0,
6,3031,0,0,
6,3079,0,0,
6,3113,0,0,
7,0,1,0,
7,26,1,0,
7,56,1,0,
7,84,1,0,
7,112,1,0,
7,139,1,0,
7,173,1,0,
7,199,1,0,
7,225,1,0,
7,256,0,0,
7,289,1,0,
7,323,1,0,
7,357,1,0,
7,390,0,0,
7,424,0,0,
7,457,0,0,
7,491,0,0,
7,518,1,0,
7,547,0,0,
7,574,1,0,
7,601,0,0,
7,630,0,1,
7,658,0,1,
7,691,0,1,
7,717,0,1,
7,748,0,1,
7,776,0,0,
7,808,0,0,
7,841,0,1,
7,875,0,1,
