trial,_right_canvas,times,_left_canvas,Unnamed: 4
6,0,0,1,
6,0,32,0,
6,0,62,1,
6,0,94,1,
6,0,126,1,
6,0,158,1,
6,0,190,1,
6,0,220,0,
6,0,255,1,
6,0,285,1,
6,0,320,1,
6,0,352,1,
6,0,383,1,
6,0,418,1,
6,0,452,1,
6,0,486,1,
6,0,519,1,
6,0,550,1,
6,0,580,1,
6,0,612,1,
6,0,644,1,
6,0,679,1,
6,0,714,1,
6,0,743,1,
6,0,776,1,
6,0,811,1,
6,0,843,1,
6,0,871,1,
6,0,900,1,
6,0,931,1,
6,0,960,1,
6,0,991,1,
6,0,1019,1,
6,0,1050,1,
6,0,1079,1,
6,0,1110,1,
6,0,1143,1,
6,0,1174,1,
6,0,1201,1,
6,0,1231,1,
6,0,1262,1,
6,0,1290,1,
6,0,1320,1,
6,0,1368,1,
6,0,1396,0,
6,0,1426,0,
6,0,1455,0,
6,0,1486,0,
6,0,1515,0,
6,1,1544,0,
6,0,1574,1,
6,0,1605,1,
6,0,1632,1,
6,0,1662,1,
6,0,1698,1,
6,0,1727,1,
6,0,1755,1,
6,0,1785,1,
6,0,1818,1,
6,0,1848,1,
6,0,1876,1,
6,0,1905,1,
6,0,1937,1,
6,0,1969,1,
6,0,1999,1,
6,0,2030,1,
6,0,2061,1,
7,1,0,0,
7,1,34,0,
7,1,68,0,
7,1,96,0,
7,1,126,0,
7,1,156,0,
7,1,188,0,
7,1,216,0,
7,1,242,0,
7,1,276,0,
7,1,304,0,
7,1,337,0,
7,1,375,0,
7,1,404,0,
7,1,437,0,
7,1,468,0,
7,1,497,0,
7,1,525,0,
7,1,556,0,
7,1,584,0,
7,1,613,0,
7,1,648,0,
7,1,678,0,
7,1,708,0,
7,1,740,0,
7,1,774,0,
7,1,802,0,
7,1,835,0,
7,1,868,0,
7,1,904,0,
7,1,934,0,
7,1,968,0,
7,1,997,0,
7,1,1028,0,
7,1,1064,0,
7,1,1093,0,
7,1,1126,0,
7,1,1155,0,
7,1,1185,0,
7,1,1215,0,
7,1,1241,0,
7,1,1270,0,
7,1,1301,0,
7,1,1331,0,
7,1,1363,0,
7,1,1393,0,
7,1,1420,0,
7,1,1448,0,
7,1,1477,0,
7,1,1511,0,
7,1,1545,0,
7,1,1575,0,
7,1,1610,0,
8,0,0,1,
8,0,33,1,
8,0,68,1,
8,0,99,1,
8,0,133,1,
8,0,162,1,
8,0,197,1,
8,0,228,1,
8,0,259,1,
8,0,290,1,
8,0,325,1,
8,0,363,1,
8,0,397,1,
8,0,427,1,
8,0,461,1,
8,0,488,1,
8,0,516,1,
8,0,546,1,
8,0,582,1,
8,0,612,1,
8,0,645,1,
8,0,674,0,
8,0,708,1,
8,0,737,1,
8,0,765,1,
8,0,796,1,
8,0,825,1,
8,0,860,1,
8,0,895,1,
8,0,930,0,
8,0,965,1,
8,0,1001,1,
8,0,1039,1,
8,0,1070,1,
8,0,1103,1,
8,0,1154,1,
8,0,1190,1,
8,0,1221,1,
8,0,1256,1,
8,0,1287,1,
8,0,1316,1,
8,0,1350,1,
8,0,1380,1,
8,0,1414,1,
8,0,1448,1,
8,0,1478,1,
10,1,0,0,
10,0,35,1,
10,0,66,0,
10,0,98,1,
10,0,128,1,
10,1,166,0,
10,1,193,0,
10,0,229,0,
10,0,258,1,
10,0,289,1,
10,0,321,0,
10,0,351,1,
10,1,378,0,
10,0,410,1,
10,1,439,0,
10,0,469,0,
10,1,504,0,
10,1,532,0,
10,1,564,0,
10,0,598,0,
10,0,631,1,
10,1,660,0,
10,0,691,1,
10,1,725,0,
10,0,757,1,
10,1,791,0,
10,0,818,0,
10,0,847,0,
10,1,878,0,
10,1,909,0,
10,1,942,0,
10,1,977,0,
10,1,1006,0,
10,1,1038,0,
10,1,1068,0,
11,0,0,0,
11,1,37,0,
11,0,68,0,
11,1,101,0,
11,1,133,0,
11,1,165,0,
11,1,193,0,
11,1,226,0,
11,0,260,1,
11,0,294,1,
11,0,325,0,
11,0,361,1,
11,0,401,1,
11,0,437,0,
11,0,468,1,
11,0,502,1,
11,0,539,0,
11,0,569,1,
11,0,606,1,
11,0,642,0,
11,1,677,0,
11,0,711,1,
11,1,746,0,
11,0,778,1,
11,0,809,0,
11,0,842,0,
11,0,871,1,
11,0,905,1,
11,0,938,1,
11,0,977,1,
11,0,1004,1,
11,0,1038,0,
12,0,0,1,
12,0,31,1,
12,0,63,1,
12,0,93,1,
12,0,120,1,
12,0,153,1,
12,0,185,1,
12,0,216,1,
12,0,244,1,
12,0,273,1,
12,0,303,1,
12,0,337,1,
12,0,371,1,
12,0,402,1,
12,0,435,1,
12,0,469,1,
12,0,512,1,
12,0,541,1,
12,0,571,1,
12,0,601,1,
12,0,637,1,
12,0,670,1,
12,0,703,1,
12,0,737,1,
13,0,0,1,
13,0,32,1,
13,0,67,1,
13,0,98,1,
13,0,133,1,
13,0,167,1,
13,0,196,1,
13,0,224,0,
13,0,256,0,
13,1,288,0,
13,0,322,1,
13,0,355,1,
13,0,383,1,
13,0,416,0,
13,1,445,0,
13,1,474,0,
13,0,510,1,
13,0,540,0,
13,1,570,0,
13,1,598,0,
13,0,632,1,
13,0,661,1,
13,0,690,1,
14,0,0,1,
14,0,33,1,
14,0,71,1,
14,0,100,1,
14,0,134,1,
14,0,162,1,
14,0,197,1,
14,0,244,1,
14,1,280,0,
14,0,314,1,
14,0,347,1,
14,0,376,1,
14,1,406,0,
14,0,435,0,
14,0,470,0,
14,0,500,1,
14,1,534,0,
14,0,564,0,
14,0,597,0,
14,0,625,1,
14,0,658,1,
14,0,693,1,
14,0,724,0,
14,0,758,1,
14,0,789,1,
14,0,818,1,
14,0,852,1,
14,0,884,1,
14,0,917,0,
14,0,949,1,
14,0,986,1,
14,0,1014,1,
14,0,1046,0,
14,1,1087,0,
14,0,1120,0,
14,0,1152,0,
14,1,1189,0,
14,1,1223,0,
14,1,1258,0,
14,0,1287,0,
14,1,1322,0,
14,0,1349,0,
14,1,1384,0,
14,1,1413,0,
14,1,1446,0,
14,1,1479,0,
14,1,1508,0,
14,1,1539,0,
14,1,1570,0,
14,1,1602,0,
14,1,1634,0,
14,1,1667,0,
14,1,1703,0,
14,1,1736,0,
14,1,1771,0,
14,1,1805,0,
14,1,1840,0,
14,1,1874,0,
14,1,1909,0,
14,1,1940,0,
14,1,1974,0,
14,1,2020,0,
14,0,2054,0,
14,0,2089,0,
14,0,2123,0,
14,1,2156,0,
14,0,2191,1,
14,0,2224,0,
14,0,2255,0,
14,0,2291,0,
14,0,2327,0,
14,0,2357,0,
14,0,2393,0,
14,0,2426,0,
14,0,2459,0,
14,0,2493,0,
14,0,2529,0,
14,0,2560,0,
14,0,2595,0,
14,0,2629,1,
14,0,2662,1,
14,0,2695,1,
14,0,2727,0,
14,0,2761,1,
14,0,2797,1,
14,0,2828,1,
14,0,2862,1,
14,0,2891,1,
14,0,2929,1,
14,0,2961,1,
14,0,2996,1,
14,0,3027,1,
14,0,3057,1,
14,0,3090,1,
14,1,3125,0,
14,0,3160,1,
14,1,3195,0,
14,1,3229,0,
14,1,3260,0,
14,0,3289,0,
14,1,3326,0,
14,0,3362,1,
14,0,3391,1,
14,0,3427,0,
14,0,3463,1,
14,1,3496,0,
14,0,3530,1,
14,1,3573,0,
14,1,3602,0,
14,1,3638,0,
14,1,3672,0,
14,0,3703,1,
14,1,3736,0,
14,0,3773,1,
14,1,3803,0,
14,0,3837,1,
14,0,3871,1,
14,0,3907,1,
14,1,3940,0,
14,0,3972,0,
14,1,4006,0,
14,1,4036,0,
14,0,4070,1,
14,0,4100,1,
14,0,4131,1,
14,0,4163,1,
14,0,4197,1,
14,0,4231,1,
14,0,4265,1,
14,0,4295,1,
14,0,4328,1,
14,0,4363,1,
14,0,4396,1,
14,0,4429,1,
14,0,4464,1,
14,0,4494,1,
14,0,4527,1,
14,0,4560,1,
14,0,4597,1,
14,0,4632,1,
14,0,4665,1,
14,0,4696,1,
14,0,4724,1,
14,0,4751,1,
14,0,4781,1,
14,0,4816,1,
14,0,4851,1,
14,0,4885,1,
14,0,4917,1,
14,0,4956,1,
14,0,4988,1,
14,0,5022,1,
14,0,5055,1,
14,0,5088,1,
14,0,5123,1,
14,0,5156,1,
14,0,5189,1,
14,0,5225,1,
14,0,5258,1,
14,0,5292,1,
14,0,5327,1,
14,0,5362,1,
14,0,5409,0,
14,0,5438,1,
14,1,5475,0,
14,1,5509,0,
14,0,5536,1,
14,0,5567,1,
14,1,5604,0,
14,0,5639,0,
14,1,5675,0,
14,1,5706,0,
14,1,5737,0,
14,0,5772,1,
14,0,5807,1,
14,0,5835,0,
14,1,5865,0,
14,1,5897,0,
14,1,5930,0,
