trial,_left_canvas,times,_right_canvas,Unnamed: 4
6,0,0,1,
6,1,39,0,
6,1,78,0,
6,0,111,0,
6,1,150,0,
6,1,184,0,
6,0,221,1,
6,0,257,0,
6,1,294,0,
6,0,328,0,
6,0,361,1,
6,1,400,0,
6,1,436,0,
6,1,469,0,
6,0,505,0,
6,1,538,0,
6,1,592,0,
6,1,626,0,
6,1,662,0,
6,1,696,0,
6,1,742,0,
6,1,779,0,
6,1,817,0,
6,1,855,0,
6,1,912,0,
6,1,951,0,
6,1,989,0,
6,1,1025,0,
6,1,1061,0,
6,1,1101,0,
6,1,1138,0,
7,0,0,0,
7,0,38,1,
7,0,76,0,
7,0,113,1,
7,1,166,0,
7,0,204,0,
7,1,244,0,
7,1,280,0,
7,1,337,0,
7,1,377,0,
7,1,415,0,
7,1,453,0,
7,1,490,0,
7,0,528,0,
7,0,578,0,
7,1,612,0,
7,0,647,0,
7,0,684,1,
7,0,720,1,
7,0,780,1,
7,0,818,1,
7,0,852,1,
7,0,892,1,
7,0,938,1,
7,0,979,1,
7,0,1019,1,
7,0,1081,1,
7,0,1118,1,
7,0,1154,1,
7,0,1190,1,
7,0,1229,1,
7,0,1279,1,
8,1,0,0,
8,1,37,0,
8,0,75,0,
8,1,131,0,
8,0,164,0,
8,0,200,1,
8,1,234,0,
8,0,267,1,
8,0,304,1,
8,1,337,0,
8,1,370,0,
8,1,406,0,
8,1,443,0,
8,1,481,0,
8,1,514,0,
8,1,551,0,
8,1,584,0,
8,1,622,0,
8,1,663,0,
8,1,711,0,
8,1,749,0,
8,1,783,0,
8,0,820,1,
8,1,856,0,
8,1,893,0,
8,1,927,0,
8,1,982,0,
8,1,1018,0,
8,1,1055,0,
8,1,1089,0,
8,1,1145,0,
8,1,1182,0,
8,1,1221,0,
8,1,1257,0,
8,1,1299,0,
8,1,1336,0,
8,0,1372,0,
8,1,1411,0,
8,1,1445,0,
8,1,1483,0,
8,1,1520,0,
8,1,1557,0,
8,1,1592,0,
8,1,1629,0,
8,1,1666,0,
10,0,0,0,
10,1,37,0,
10,1,71,0,
10,1,110,0,
10,0,143,1,
10,0,177,1,
10,1,213,0,
10,1,246,0,
10,1,284,0,
10,0,339,1,
10,0,376,1,
10,0,410,1,
10,0,447,1,
10,0,484,1,
10,0,518,1,
10,0,552,1,
10,0,593,1,
10,0,630,0,
10,0,665,1,
10,0,704,1,
10,0,744,1,
10,0,788,1,
10,1,828,0,
10,1,863,0,
10,1,900,0,
10,1,938,0,
10,0,979,0,
10,1,1013,0,
10,0,1046,0,
10,1,1092,0,
10,1,1129,0,
10,1,1163,0,
10,1,1201,0,
10,1,1238,0,
10,1,1280,0,
10,1,1318,0,
10,1,1384,0,
10,1,1419,0,
10,1,1457,0,
10,1,1508,0,
10,0,1543,1,
10,0,1581,1,
10,1,1615,0,
10,0,1652,1,
10,0,1689,1,
10,0,1724,1,
10,0,1779,1,
10,0,1839,1,
10,0,1874,1,
10,0,1916,1,
10,0,1953,0,
10,0,1990,1,
10,0,2047,0,
10,0,2081,1,
10,0,2119,1,
10,0,2153,1,
10,0,2187,1,
10,0,2246,1,
10,1,2282,0,
10,0,2319,1,
10,0,2358,0,
